"","type","exp","cor","diff","hour","sec","min"
"1","Latin","Yes, No","Yes, No","5","17","68","3"
"2","Greek","Yes","No","10","17","4","6"
"3","Latin","No","Yes","5","20","54","9"
"4","Greek","Yes","Yes","3","20","11","4"
"5","Latin","Yes","Yes","1","20","5","8"
"6","Greek","Yes","Yes","3","20",NA,NA
"7","Latin","Yes","No","10","20",NA,NA
"8","Greek","No","No","7","20","9","8"
"9","Latin","Yes","Yes","10","20",NA,NA
"10","Latin","Yes","Yes","6","20",NA,"idn’t do the sudoku but the instructions seem clear"
